sample_id,label,label_name,image_path,mode,width,height,array_shape,dtype,min_pixel,max_pixel,mean_pixel,std_pixel
1-246,1,inclusion,Heat 1 images/imgs/00246.TIF,L,128,128,"(128, 128)",uint8,50.0,242.0,198.88671875,16.778423277259947
1-248,1,inclusion,Heat 1 images/imgs/00248.TIF,L,128,128,"(128, 128)",uint8,28.0,234.0,187.93902587890625,35.629044869444655
1-250,1,inclusion,Heat 1 images/imgs/00250.TIF,L,128,128,"(128, 128)",uint8,31.0,230.0,194.9227294921875,24.481657893491096
1-254,1,inclusion,Heat 1 images/imgs/00254.TIF,L,128,128,"(128, 128)",uint8,29.0,237.0,194.2474365234375,31.16524922958052
1-255,1,inclusion,Heat 1 images/imgs/00255.TIF,L,128,128,"(128, 128)",uint8,24.0,235.0,191.814697265625,35.50402759401577
1-259,1,inclusion,Heat 1 images/imgs/00259.TIF,L,128,128,"(128, 128)",uint8,28.0,228.0,187.60223388671875,33.449023969054856
1-270,1,inclusion,Heat 1 images/imgs/00270.TIF,L,128,128,"(128, 128)",uint8,43.0,236.0,198.12750244140625,21.5644794259586
1-276,1,inclusion,Heat 1 images/imgs/00276.TIF,L,128,128,"(128, 128)",uint8,59.0,238.0,198.41107177734375,22.33448020066093
1-279,1,inclusion,Heat 1 images/imgs/00279.TIF,L,128,128,"(128, 128)",uint8,30.0,235.0,197.17474365234375,23.547741654333795
1-280,1,inclusion,Heat 1 images/imgs/00280.TIF,L,128,128,"(128, 128)",uint8,65.0,238.0,194.801513671875,27.520456394648235
1-282,1,inclusion,Heat 1 images/imgs/00282.TIF,L,128,128,"(128, 128)",uint8,25.0,237.0,192.83966064453125,30.19872715624773
1-285,1,inclusion,Heat 1 images/imgs/00285.TIF,L,128,128,"(128, 128)",uint8,36.0,234.0,189.40814208984375,31.430352374823794
1-287,1,inclusion,Heat 1 images/imgs/00287.TIF,L,128,128,"(128, 128)",uint8,32.0,236.0,193.7415771484375,27.0201226167377
1-288,1,inclusion,Heat 1 images/imgs/00288.TIF,L,128,128,"(128, 128)",uint8,58.0,239.0,199.73590087890625,18.88129849365719
1-291,1,inclusion,Heat 1 images/imgs/00291.TIF,L,128,128,"(128, 128)",uint8,20.0,237.0,191.7574462890625,35.04840410900239
1-294,1,inclusion,Heat 1 images/imgs/00294.TIF,L,128,128,"(128, 128)",uint8,21.0,235.0,181.7906494140625,45.39010187379422
1-299,1,inclusion,Heat 1 images/imgs/00299.TIF,L,128,128,"(128, 128)",uint8,40.0,233.0,196.92413330078125,16.674896299744443
1-303,1,inclusion,Heat 1 images/imgs/00303.TIF,L,128,128,"(128, 128)",uint8,2.0,240.0,186.0504150390625,43.73525027397192
1-304,1,inclusion,Heat 1 images/imgs/00304.TIF,L,128,128,"(128, 128)",uint8,77.0,239.0,200.4046630859375,17.49455670740022
1-305,1,inclusion,Heat 1 images/imgs/00305.TIF,L,128,128,"(128, 128)",uint8,58.0,236.0,196.0985107421875,23.60895231936497
1-306,1,inclusion,Heat 1 images/imgs/00306.TIF,L,128,128,"(128, 128)",uint8,19.0,235.0,182.87139892578125,42.77143904973041
1-307,1,inclusion,Heat 1 images/imgs/00307.TIF,L,128,128,"(128, 128)",uint8,42.0,242.0,196.80145263671875,23.935538030301363
1-308,1,inclusion,Heat 1 images/imgs/00308.TIF,L,128,128,"(128, 128)",uint8,29.0,236.0,194.26226806640625,32.72850114561752
1-312,1,inclusion,Heat 1 images/imgs/00312.TIF,L,128,128,"(128, 128)",uint8,33.0,238.0,200.58319091796875,19.001982913943284
1-315,1,inclusion,Heat 1 images/imgs/00315.TIF,L,128,128,"(128, 128)",uint8,61.0,232.0,199.12939453125,14.544524522263355
1-317,1,inclusion,Heat 1 images/imgs/00317.TIF,L,128,128,"(128, 128)",uint8,51.0,242.0,194.76116943359375,30.46633048886334
1-320,1,inclusion,Heat 1 images/imgs/00320.TIF,L,128,128,"(128, 128)",uint8,37.0,234.0,196.0740966796875,18.12264944118262
1-322,1,inclusion,Heat 1 images/imgs/00322.TIF,L,128,128,"(128, 128)",uint8,35.0,236.0,198.8983154296875,21.333173328682207
1-333,1,inclusion,Heat 1 images/imgs/00333.TIF,L,128,128,"(128, 128)",uint8,38.0,238.0,198.3096923828125,23.769100333565223
1-334,1,inclusion,Heat 1 images/imgs/00334.TIF,L,128,128,"(128, 128)",uint8,34.0,236.0,197.1649169921875,21.482153854342105
1-335,1,inclusion,Heat 1 images/imgs/00335.TIF,L,128,128,"(128, 128)",uint8,62.0,235.0,196.46527099609375,22.926145966914884
1-336,0,non-inclusion,Heat 1 images/imgs/00336.TIF,L,128,128,"(128, 128)",uint8,34.0,239.0,198.77178955078125,22.32261035753796
1-337,1,inclusion,Heat 1 images/imgs/00337.TIF,L,128,128,"(128, 128)",uint8,23.0,236.0,195.03363037109375,29.975670136804013
1-340,1,inclusion,Heat 1 images/imgs/00340.TIF,L,128,128,"(128, 128)",uint8,17.0,238.0,194.628662109375,34.01746304127832
1-344,1,inclusion,Heat 1 images/imgs/00344.TIF,L,128,128,"(128, 128)",uint8,60.0,232.0,194.37548828125,20.093743919027546
1-350,1,inclusion,Heat 1 images/imgs/00350.TIF,L,128,128,"(128, 128)",uint8,23.0,238.0,196.79083251953125,28.302226102960226
1-352,1,inclusion,Heat 1 images/imgs/00352.TIF,L,128,128,"(128, 128)",uint8,17.0,236.0,198.91485595703125,22.449335623254882
1-353,1,inclusion,Heat 1 images/imgs/00353.TIF,L,128,128,"(128, 128)",uint8,80.0,234.0,194.1259765625,23.34853425336804
1-354,1,inclusion,Heat 1 images/imgs/00354.TIF,L,128,128,"(128, 128)",uint8,32.0,243.0,193.3636474609375,31.84194957460447
1-357,1,inclusion,Heat 1 images/imgs/00357.TIF,L,128,128,"(128, 128)",uint8,31.0,234.0,188.6885986328125,38.817394479143644
1-358,0,non-inclusion,Heat 1 images/imgs/00358.TIF,L,128,128,"(128, 128)",uint8,50.0,232.0,196.86932373046875,16.820160498665363
1-359,1,inclusion,Heat 1 images/imgs/00359.TIF,L,128,128,"(128, 128)",uint8,24.0,230.0,194.77838134765625,21.755668238529577
1-360,1,inclusion,Heat 1 images/imgs/00360.TIF,L,128,128,"(128, 128)",uint8,62.0,231.0,195.339599609375,16.04615700182406
1-361,1,inclusion,Heat 1 images/imgs/00361.TIF,L,128,128,"(128, 128)",uint8,64.0,235.0,196.36761474609375,17.65474076857221
1-363,1,inclusion,Heat 1 images/imgs/00363.TIF,L,128,128,"(128, 128)",uint8,22.0,236.0,200.40625,18.974106662312522
1-364,1,inclusion,Heat 1 images/imgs/00364.TIF,L,128,128,"(128, 128)",uint8,47.0,240.0,190.79736328125,27.47580750279283
1-365,1,inclusion,Heat 1 images/imgs/00365.TIF,L,128,128,"(128, 128)",uint8,29.0,236.0,196.16070556640625,29.293222545493904
1-366,1,inclusion,Heat 1 images/imgs/00366.TIF,L,128,128,"(128, 128)",uint8,51.0,243.0,199.6800537109375,21.001373015872144
1-367,1,inclusion,Heat 1 images/imgs/00367.TIF,L,128,128,"(128, 128)",uint8,19.0,235.0,200.1187744140625,19.836038832989733
1-369,1,inclusion,Heat 1 images/imgs/00369.TIF,L,128,128,"(128, 128)",uint8,27.0,238.0,188.87091064453125,40.79869566385546
1-373,1,inclusion,Heat 1 images/imgs/00373.TIF,L,128,128,"(128, 128)",uint8,59.0,239.0,195.6409912109375,23.895006432640656
1-379,1,inclusion,Heat 1 images/imgs/00379.TIF,L,128,128,"(128, 128)",uint8,33.0,231.0,193.218994140625,26.000213914458893
1-382,1,inclusion,Heat 1 images/imgs/00382.TIF,L,128,128,"(128, 128)",uint8,38.0,236.0,194.46844482421875,24.08472452495059
1-385,1,inclusion,Heat 1 images/imgs/00385.TIF,L,128,128,"(128, 128)",uint8,68.0,235.0,196.81146240234375,20.135400746998773
1-390,1,inclusion,Heat 1 images/imgs/00390.TIF,L,128,128,"(128, 128)",uint8,39.0,235.0,195.9072265625,18.490170702850325
1-394,1,inclusion,Heat 1 images/imgs/00394.TIF,L,128,128,"(128, 128)",uint8,34.0,238.0,198.73284912109375,22.676264974657276
1-397,1,inclusion,Heat 1 images/imgs/00397.TIF,L,128,128,"(128, 128)",uint8,21.0,238.0,193.26776123046875,30.520393264138598
1-403,1,inclusion,Heat 1 images/imgs/00403.TIF,L,128,128,"(128, 128)",uint8,84.0,241.0,198.1318359375,19.107281599063118
1-405,1,inclusion,Heat 1 images/imgs/00405.TIF,L,128,128,"(128, 128)",uint8,21.0,239.0,195.64544677734375,27.920619594759582
1-408,1,inclusion,Heat 1 images/imgs/00408.TIF,L,128,128,"(128, 128)",uint8,27.0,235.0,195.88043212890625,27.284742991390505
1-418,1,inclusion,Heat 1 images/imgs/00418.TIF,L,128,128,"(128, 128)",uint8,43.0,237.0,198.0584716796875,19.367160687460732
1-424,1,inclusion,Heat 1 images/imgs/00424.TIF,L,128,128,"(128, 128)",uint8,29.0,234.0,197.3714599609375,22.280676511671114
1-429,1,inclusion,Heat 1 images/imgs/00429.TIF,L,128,128,"(128, 128)",uint8,36.0,234.0,193.038330078125,26.756157486124543
1-432,1,inclusion,Heat 1 images/imgs/00432.TIF,L,128,128,"(128, 128)",uint8,17.0,236.0,195.3795166015625,25.56602417563471
1-433,1,inclusion,Heat 1 images/imgs/00433.TIF,L,128,128,"(128, 128)",uint8,10.0,235.0,197.17279052734375,22.063531632574804
1-435,1,inclusion,Heat 1 images/imgs/00435.TIF,L,128,128,"(128, 128)",uint8,18.0,238.0,191.5185546875,33.69769923961997
1-437,1,inclusion,Heat 1 images/imgs/00437.TIF,L,128,128,"(128, 128)",uint8,28.0,236.0,187.158935546875,40.46968819182453
1-442,1,inclusion,Heat 1 images/imgs/00442.TIF,L,128,128,"(128, 128)",uint8,26.0,229.0,194.03656005859375,19.25992968287941
1-443,1,inclusion,Heat 1 images/imgs/00443.TIF,L,128,128,"(128, 128)",uint8,18.0,236.0,176.47576904296875,49.96376395708353
1-449,1,inclusion,Heat 1 images/imgs/00449.TIF,L,128,128,"(128, 128)",uint8,57.0,242.0,198.119140625,20.222624842276893
1-450,1,inclusion,Heat 1 images/imgs/00450.TIF,L,128,128,"(128, 128)",uint8,13.0,236.0,185.4005126953125,44.62738515302592
1-453,1,inclusion,Heat 1 images/imgs/00453.TIF,L,128,128,"(128, 128)",uint8,40.0,242.0,194.25872802734375,30.211922634624283
1-454,1,inclusion,Heat 1 images/imgs/00454.TIF,L,128,128,"(128, 128)",uint8,56.0,230.0,194.74652099609375,16.42485979820444
1-456,1,inclusion,Heat 1 images/imgs/00456.TIF,L,128,128,"(128, 128)",uint8,24.0,236.0,190.3477783203125,35.188187194190014
1-457,1,inclusion,Heat 1 images/imgs/00457.TIF,L,128,128,"(128, 128)",uint8,17.0,237.0,197.61590576171875,25.228399900856285
1-459,1,inclusion,Heat 1 images/imgs/00459.TIF,L,128,128,"(128, 128)",uint8,33.0,241.0,198.32366943359375,19.399553779100845
1-460,1,inclusion,Heat 1 images/imgs/00460.TIF,L,128,128,"(128, 128)",uint8,36.0,234.0,199.514892578125,19.536821652495814
1-464,1,inclusion,Heat 1 images/imgs/00464.TIF,L,128,128,"(128, 128)",uint8,37.0,235.0,192.5574951171875,24.44578793631174
1-473,1,inclusion,Heat 1 images/imgs/00473.TIF,L,128,128,"(128, 128)",uint8,32.0,237.0,198.10101318359375,20.893464395408653
1-474,1,inclusion,Heat 1 images/imgs/00474.TIF,L,128,128,"(128, 128)",uint8,34.0,237.0,191.5577392578125,26.48650131889086
1-481,1,inclusion,Heat 1 images/imgs/00481.TIF,L,128,128,"(128, 128)",uint8,26.0,234.0,186.65582275390625,37.261581103069354
1-482,1,inclusion,Heat 1 images/imgs/00482.TIF,L,128,128,"(128, 128)",uint8,41.0,243.0,191.1749267578125,29.499975854805182
1-485,1,inclusion,Heat 1 images/imgs/00485.TIF,L,128,128,"(128, 128)",uint8,34.0,235.0,195.8460693359375,25.994930990225743
1-487,1,inclusion,Heat 1 images/imgs/00487.TIF,L,128,128,"(128, 128)",uint8,28.0,239.0,200.25946044921875,18.747783126807885
1-488,1,inclusion,Heat 1 images/imgs/00488.TIF,L,128,128,"(128, 128)",uint8,17.0,240.0,196.8160400390625,26.697089567028826
1-489,1,inclusion,Heat 1 images/imgs/00489.TIF,L,128,128,"(128, 128)",uint8,48.0,236.0,197.86328125,20.50100593890056
1-491,1,inclusion,Heat 1 images/imgs/00491.TIF,L,128,128,"(128, 128)",uint8,26.0,231.0,193.79266357421875,22.537946352023745
1-495,0,non-inclusion,Heat 1 images/imgs/00495.TIF,L,128,128,"(128, 128)",uint8,50.0,239.0,195.8372802734375,25.057273493095273
1-500,1,inclusion,Heat 1 images/imgs/00500.TIF,L,128,128,"(128, 128)",uint8,37.0,243.0,195.982177734375,28.71044833330996
