sample_id,heat,part,image_path,label,label_name
1-198,1,198,Heat 1 images/imgs/00198.TIF,1,inclusion
1-201,1,201,Heat 1 images/imgs/00201.TIF,1,inclusion
1-202,1,202,Heat 1 images/imgs/00202.TIF,1,inclusion
1-208,1,208,Heat 1 images/imgs/00208.TIF,1,inclusion
1-209,1,209,Heat 1 images/imgs/00209.TIF,1,inclusion
1-210,1,210,Heat 1 images/imgs/00210.TIF,1,inclusion
1-211,1,211,Heat 1 images/imgs/00211.TIF,1,inclusion
1-218,1,218,Heat 1 images/imgs/00218.TIF,1,inclusion
1-219,1,219,Heat 1 images/imgs/00219.TIF,1,inclusion
1-221,1,221,Heat 1 images/imgs/00221.TIF,0,non-inclusion
1-222,1,222,Heat 1 images/imgs/00222.TIF,1,inclusion
1-223,1,223,Heat 1 images/imgs/00223.TIF,1,inclusion
1-224,1,224,Heat 1 images/imgs/00224.TIF,1,inclusion
1-226,1,226,Heat 1 images/imgs/00226.TIF,1,inclusion
1-228,1,228,Heat 1 images/imgs/00228.TIF,1,inclusion
1-229,1,229,Heat 1 images/imgs/00229.TIF,1,inclusion
1-230,1,230,Heat 1 images/imgs/00230.TIF,1,inclusion
1-232,1,232,Heat 1 images/imgs/00232.TIF,1,inclusion
1-240,1,240,Heat 1 images/imgs/00240.TIF,1,inclusion
1-241,1,241,Heat 1 images/imgs/00241.TIF,1,inclusion
1-244,1,244,Heat 1 images/imgs/00244.TIF,1,inclusion
1-245,1,245,Heat 1 images/imgs/00245.TIF,1,inclusion
1-246,1,246,Heat 1 images/imgs/00246.TIF,1,inclusion
1-248,1,248,Heat 1 images/imgs/00248.TIF,1,inclusion
1-250,1,250,Heat 1 images/imgs/00250.TIF,1,inclusion
1-254,1,254,Heat 1 images/imgs/00254.TIF,1,inclusion
1-255,1,255,Heat 1 images/imgs/00255.TIF,1,inclusion
1-259,1,259,Heat 1 images/imgs/00259.TIF,1,inclusion
1-270,1,270,Heat 1 images/imgs/00270.TIF,1,inclusion
1-276,1,276,Heat 1 images/imgs/00276.TIF,1,inclusion
1-279,1,279,Heat 1 images/imgs/00279.TIF,1,inclusion
1-280,1,280,Heat 1 images/imgs/00280.TIF,1,inclusion
1-282,1,282,Heat 1 images/imgs/00282.TIF,1,inclusion
1-285,1,285,Heat 1 images/imgs/00285.TIF,1,inclusion
1-287,1,287,Heat 1 images/imgs/00287.TIF,1,inclusion
1-288,1,288,Heat 1 images/imgs/00288.TIF,1,inclusion
1-291,1,291,Heat 1 images/imgs/00291.TIF,1,inclusion
1-294,1,294,Heat 1 images/imgs/00294.TIF,1,inclusion
1-299,1,299,Heat 1 images/imgs/00299.TIF,1,inclusion
1-303,1,303,Heat 1 images/imgs/00303.TIF,1,inclusion
1-304,1,304,Heat 1 images/imgs/00304.TIF,1,inclusion
1-305,1,305,Heat 1 images/imgs/00305.TIF,1,inclusion
1-306,1,306,Heat 1 images/imgs/00306.TIF,1,inclusion
1-307,1,307,Heat 1 images/imgs/00307.TIF,1,inclusion
1-308,1,308,Heat 1 images/imgs/00308.TIF,1,inclusion
1-312,1,312,Heat 1 images/imgs/00312.TIF,1,inclusion
1-315,1,315,Heat 1 images/imgs/00315.TIF,1,inclusion
1-317,1,317,Heat 1 images/imgs/00317.TIF,1,inclusion
1-320,1,320,Heat 1 images/imgs/00320.TIF,1,inclusion
1-322,1,322,Heat 1 images/imgs/00322.TIF,1,inclusion
1-333,1,333,Heat 1 images/imgs/00333.TIF,1,inclusion
1-334,1,334,Heat 1 images/imgs/00334.TIF,1,inclusion
1-335,1,335,Heat 1 images/imgs/00335.TIF,1,inclusion
1-336,1,336,Heat 1 images/imgs/00336.TIF,0,non-inclusion
1-337,1,337,Heat 1 images/imgs/00337.TIF,1,inclusion
1-340,1,340,Heat 1 images/imgs/00340.TIF,1,inclusion
1-344,1,344,Heat 1 images/imgs/00344.TIF,1,inclusion
1-350,1,350,Heat 1 images/imgs/00350.TIF,1,inclusion
1-352,1,352,Heat 1 images/imgs/00352.TIF,1,inclusion
1-353,1,353,Heat 1 images/imgs/00353.TIF,1,inclusion
1-354,1,354,Heat 1 images/imgs/00354.TIF,1,inclusion
1-357,1,357,Heat 1 images/imgs/00357.TIF,1,inclusion
1-358,1,358,Heat 1 images/imgs/00358.TIF,0,non-inclusion
1-359,1,359,Heat 1 images/imgs/00359.TIF,1,inclusion
1-360,1,360,Heat 1 images/imgs/00360.TIF,1,inclusion
1-361,1,361,Heat 1 images/imgs/00361.TIF,1,inclusion
1-363,1,363,Heat 1 images/imgs/00363.TIF,1,inclusion
1-364,1,364,Heat 1 images/imgs/00364.TIF,1,inclusion
1-365,1,365,Heat 1 images/imgs/00365.TIF,1,inclusion
1-366,1,366,Heat 1 images/imgs/00366.TIF,1,inclusion
1-367,1,367,Heat 1 images/imgs/00367.TIF,1,inclusion
1-369,1,369,Heat 1 images/imgs/00369.TIF,1,inclusion
1-373,1,373,Heat 1 images/imgs/00373.TIF,1,inclusion
1-379,1,379,Heat 1 images/imgs/00379.TIF,1,inclusion
1-382,1,382,Heat 1 images/imgs/00382.TIF,1,inclusion
1-385,1,385,Heat 1 images/imgs/00385.TIF,1,inclusion
1-390,1,390,Heat 1 images/imgs/00390.TIF,1,inclusion
1-394,1,394,Heat 1 images/imgs/00394.TIF,1,inclusion
1-397,1,397,Heat 1 images/imgs/00397.TIF,1,inclusion
1-403,1,403,Heat 1 images/imgs/00403.TIF,1,inclusion
1-405,1,405,Heat 1 images/imgs/00405.TIF,1,inclusion
1-408,1,408,Heat 1 images/imgs/00408.TIF,1,inclusion
1-418,1,418,Heat 1 images/imgs/00418.TIF,1,inclusion
1-424,1,424,Heat 1 images/imgs/00424.TIF,1,inclusion
1-429,1,429,Heat 1 images/imgs/00429.TIF,1,inclusion
1-432,1,432,Heat 1 images/imgs/00432.TIF,1,inclusion
1-433,1,433,Heat 1 images/imgs/00433.TIF,1,inclusion
1-435,1,435,Heat 1 images/imgs/00435.TIF,1,inclusion
1-437,1,437,Heat 1 images/imgs/00437.TIF,1,inclusion
1-442,1,442,Heat 1 images/imgs/00442.TIF,1,inclusion
1-443,1,443,Heat 1 images/imgs/00443.TIF,1,inclusion
1-449,1,449,Heat 1 images/imgs/00449.TIF,1,inclusion
1-450,1,450,Heat 1 images/imgs/00450.TIF,1,inclusion
1-453,1,453,Heat 1 images/imgs/00453.TIF,1,inclusion
1-454,1,454,Heat 1 images/imgs/00454.TIF,1,inclusion
1-456,1,456,Heat 1 images/imgs/00456.TIF,1,inclusion
1-457,1,457,Heat 1 images/imgs/00457.TIF,1,inclusion
1-459,1,459,Heat 1 images/imgs/00459.TIF,1,inclusion
1-460,1,460,Heat 1 images/imgs/00460.TIF,1,inclusion
1-464,1,464,Heat 1 images/imgs/00464.TIF,1,inclusion
1-473,1,473,Heat 1 images/imgs/00473.TIF,1,inclusion
1-474,1,474,Heat 1 images/imgs/00474.TIF,1,inclusion
1-481,1,481,Heat 1 images/imgs/00481.TIF,1,inclusion
1-482,1,482,Heat 1 images/imgs/00482.TIF,1,inclusion
1-485,1,485,Heat 1 images/imgs/00485.TIF,1,inclusion
1-487,1,487,Heat 1 images/imgs/00487.TIF,1,inclusion
1-488,1,488,Heat 1 images/imgs/00488.TIF,1,inclusion
1-489,1,489,Heat 1 images/imgs/00489.TIF,1,inclusion
1-491,1,491,Heat 1 images/imgs/00491.TIF,1,inclusion
1-495,1,495,Heat 1 images/imgs/00495.TIF,0,non-inclusion
1-500,1,500,Heat 1 images/imgs/00500.TIF,1,inclusion
1-501,1,501,Heat 1 images/imgs/00501.TIF,1,inclusion
1-502,1,502,Heat 1 images/imgs/00502.TIF,1,inclusion
1-504,1,504,Heat 1 images/imgs/00504.TIF,1,inclusion
1-506,1,506,Heat 1 images/imgs/00506.TIF,1,inclusion
1-509,1,509,Heat 1 images/imgs/00509.TIF,1,inclusion
1-510,1,510,Heat 1 images/imgs/00510.TIF,1,inclusion
1-511,1,511,Heat 1 images/imgs/00511.TIF,1,inclusion
1-515,1,515,Heat 1 images/imgs/00515.TIF,1,inclusion
1-516,1,516,Heat 1 images/imgs/00516.TIF,1,inclusion
1-517,1,517,Heat 1 images/imgs/00517.TIF,1,inclusion
1-520,1,520,Heat 1 images/imgs/00520.TIF,1,inclusion
1-522,1,522,Heat 1 images/imgs/00522.TIF,0,non-inclusion
1-523,1,523,Heat 1 images/imgs/00523.TIF,1,inclusion
1-525,1,525,Heat 1 images/imgs/00525.TIF,1,inclusion
1-531,1,531,Heat 1 images/imgs/00531.TIF,1,inclusion
1-535,1,535,Heat 1 images/imgs/00535.TIF,1,inclusion
1-541,1,541,Heat 1 images/imgs/00541.TIF,1,inclusion
1-546,1,546,Heat 1 images/imgs/00546.TIF,1,inclusion
1-551,1,551,Heat 1 images/imgs/00551.TIF,1,inclusion
1-559,1,559,Heat 1 images/imgs/00559.TIF,1,inclusion
1-562,1,562,Heat 1 images/imgs/00562.TIF,1,inclusion
1-563,1,563,Heat 1 images/imgs/00563.TIF,1,inclusion
1-564,1,564,Heat 1 images/imgs/00564.TIF,1,inclusion
1-565,1,565,Heat 1 images/imgs/00565.TIF,1,inclusion
1-569,1,569,Heat 1 images/imgs/00569.TIF,1,inclusion
1-570,1,570,Heat 1 images/imgs/00570.TIF,1,inclusion
1-574,1,574,Heat 1 images/imgs/00574.TIF,1,inclusion
1-575,1,575,Heat 1 images/imgs/00575.TIF,1,inclusion
1-578,1,578,Heat 1 images/imgs/00578.TIF,1,inclusion
1-580,1,580,Heat 1 images/imgs/00580.TIF,1,inclusion
1-581,1,581,Heat 1 images/imgs/00581.TIF,1,inclusion
1-586,1,586,Heat 1 images/imgs/00586.TIF,1,inclusion
1-588,1,588,Heat 1 images/imgs/00588.TIF,1,inclusion
1-590,1,590,Heat 1 images/imgs/00590.TIF,1,inclusion
1-603,1,603,Heat 1 images/imgs/00603.TIF,1,inclusion
1-606,1,606,Heat 1 images/imgs/00606.TIF,1,inclusion
1-608,1,608,Heat 1 images/imgs/00608.TIF,1,inclusion
1-610,1,610,Heat 1 images/imgs/00610.TIF,1,inclusion
1-611,1,611,Heat 1 images/imgs/00611.TIF,1,inclusion
1-613,1,613,Heat 1 images/imgs/00613.TIF,1,inclusion
1-618,1,618,Heat 1 images/imgs/00618.TIF,1,inclusion
1-627,1,627,Heat 1 images/imgs/00627.TIF,1,inclusion
1-629,1,629,Heat 1 images/imgs/00629.TIF,1,inclusion
1-631,1,631,Heat 1 images/imgs/00631.TIF,1,inclusion
1-633,1,633,Heat 1 images/imgs/00633.TIF,1,inclusion
1-637,1,637,Heat 1 images/imgs/00637.TIF,1,inclusion
1-638,1,638,Heat 1 images/imgs/00638.TIF,1,inclusion
1-644,1,644,Heat 1 images/imgs/00644.TIF,1,inclusion
1-648,1,648,Heat 1 images/imgs/00648.TIF,1,inclusion
1-678,1,678,Heat 1 images/imgs/00678.TIF,1,inclusion
1-688,1,688,Heat 1 images/imgs/00688.TIF,1,inclusion
1-697,1,697,Heat 1 images/imgs/00697.TIF,1,inclusion
1-700,1,700,Heat 1 images/imgs/00700.TIF,1,inclusion
1-701,1,701,Heat 1 images/imgs/00701.TIF,1,inclusion
1-704,1,704,Heat 1 images/imgs/00704.TIF,1,inclusion
1-714,1,714,Heat 1 images/imgs/00714.TIF,1,inclusion
1-715,1,715,Heat 1 images/imgs/00715.TIF,1,inclusion
1-718,1,718,Heat 1 images/imgs/00718.TIF,1,inclusion
1-720,1,720,Heat 1 images/imgs/00720.TIF,1,inclusion
1-723,1,723,Heat 1 images/imgs/00723.TIF,1,inclusion
1-725,1,725,Heat 1 images/imgs/00725.TIF,1,inclusion
1-726,1,726,Heat 1 images/imgs/00726.TIF,1,inclusion
1-728,1,728,Heat 1 images/imgs/00728.TIF,1,inclusion
1-734,1,734,Heat 1 images/imgs/00734.TIF,1,inclusion
1-741,1,741,Heat 1 images/imgs/00741.TIF,1,inclusion
1-743,1,743,Heat 1 images/imgs/00743.TIF,1,inclusion
1-744,1,744,Heat 1 images/imgs/00744.TIF,1,inclusion
1-745,1,745,Heat 1 images/imgs/00745.TIF,1,inclusion
1-751,1,751,Heat 1 images/imgs/00751.TIF,1,inclusion
1-768,1,768,Heat 1 images/imgs/00768.TIF,1,inclusion
1-769,1,769,Heat 1 images/imgs/00769.TIF,1,inclusion
1-784,1,784,Heat 1 images/imgs/00784.TIF,1,inclusion
1-799,1,799,Heat 1 images/imgs/00799.TIF,1,inclusion
1-809,1,809,Heat 1 images/imgs/00809.TIF,1,inclusion
1-815,1,815,Heat 1 images/imgs/00815.TIF,1,inclusion
1-853,1,853,Heat 1 images/imgs/00853.TIF,1,inclusion
1-858,1,858,Heat 1 images/imgs/00858.TIF,1,inclusion
1-864,1,864,Heat 1 images/imgs/00864.TIF,1,inclusion
1-869,1,869,Heat 1 images/imgs/00869.TIF,1,inclusion
1-880,1,880,Heat 1 images/imgs/00880.TIF,1,inclusion
1-881,1,881,Heat 1 images/imgs/00881.TIF,1,inclusion
1-884,1,884,Heat 1 images/imgs/00884.TIF,1,inclusion
1-889,1,889,Heat 1 images/imgs/00889.TIF,1,inclusion
1-890,1,890,Heat 1 images/imgs/00890.TIF,1,inclusion
1-894,1,894,Heat 1 images/imgs/00894.TIF,1,inclusion
1-896,1,896,Heat 1 images/imgs/00896.TIF,1,inclusion
1-897,1,897,Heat 1 images/imgs/00897.TIF,1,inclusion
1-899,1,899,Heat 1 images/imgs/00899.TIF,1,inclusion
1-911,1,911,Heat 1 images/imgs/00911.TIF,1,inclusion
1-913,1,913,Heat 1 images/imgs/00913.TIF,1,inclusion
1-919,1,919,Heat 1 images/imgs/00919.TIF,1,inclusion
1-924,1,924,Heat 1 images/imgs/00924.TIF,1,inclusion
1-925,1,925,Heat 1 images/imgs/00925.TIF,1,inclusion
1-926,1,926,Heat 1 images/imgs/00926.TIF,1,inclusion
1-927,1,927,Heat 1 images/imgs/00927.TIF,1,inclusion
1-930,1,930,Heat 1 images/imgs/00930.TIF,1,inclusion
1-933,1,933,Heat 1 images/imgs/00933.TIF,1,inclusion
1-938,1,938,Heat 1 images/imgs/00938.TIF,1,inclusion
1-942,1,942,Heat 1 images/imgs/00942.TIF,1,inclusion
1-945,1,945,Heat 1 images/imgs/00945.TIF,1,inclusion
1-946,1,946,Heat 1 images/imgs/00946.TIF,1,inclusion
1-949,1,949,Heat 1 images/imgs/00949.TIF,1,inclusion
1-953,1,953,Heat 1 images/imgs/00953.TIF,1,inclusion
1-955,1,955,Heat 1 images/imgs/00955.TIF,1,inclusion
1-969,1,969,Heat 1 images/imgs/00969.TIF,0,non-inclusion
1-974,1,974,Heat 1 images/imgs/00974.TIF,1,inclusion
1-981,1,981,Heat 1 images/imgs/00981.TIF,1,inclusion
1-999,1,999,Heat 1 images/imgs/00999.TIF,1,inclusion
1-1002,1,1002,Heat 1 images/imgs/01002.TIF,1,inclusion
1-1011,1,1011,Heat 1 images/imgs/01011.TIF,1,inclusion
1-1013,1,1013,Heat 1 images/imgs/01013.TIF,1,inclusion
1-1016,1,1016,Heat 1 images/imgs/01016.TIF,1,inclusion
1-1017,1,1017,Heat 1 images/imgs/01017.TIF,1,inclusion
1-1018,1,1018,Heat 1 images/imgs/01018.TIF,1,inclusion
1-1019,1,1019,Heat 1 images/imgs/01019.TIF,1,inclusion
1-1020,1,1020,Heat 1 images/imgs/01020.TIF,1,inclusion
1-1022,1,1022,Heat 1 images/imgs/01022.TIF,1,inclusion
1-1026,1,1026,Heat 1 images/imgs/01026.TIF,1,inclusion
1-1027,1,1027,Heat 1 images/imgs/01027.TIF,1,inclusion
1-1038,1,1038,Heat 1 images/imgs/01038.TIF,1,inclusion
1-1042,1,1042,Heat 1 images/imgs/01042.TIF,1,inclusion
1-1056,1,1056,Heat 1 images/imgs/01056.TIF,1,inclusion
1-1057,1,1057,Heat 1 images/imgs/01057.TIF,1,inclusion
1-1060,1,1060,Heat 1 images/imgs/01060.TIF,1,inclusion
1-1062,1,1062,Heat 1 images/imgs/01062.TIF,1,inclusion
1-1063,1,1063,Heat 1 images/imgs/01063.TIF,1,inclusion
1-1071,1,1071,Heat 1 images/imgs/01071.TIF,1,inclusion
1-1080,1,1080,Heat 1 images/imgs/01080.TIF,1,inclusion
1-1082,1,1082,Heat 1 images/imgs/01082.TIF,1,inclusion
1-1092,1,1092,Heat 1 images/imgs/01092.TIF,1,inclusion
1-1097,1,1097,Heat 1 images/imgs/01097.TIF,1,inclusion
1-1110,1,1110,Heat 1 images/imgs/01110.TIF,1,inclusion
1-1113,1,1113,Heat 1 images/imgs/01113.TIF,1,inclusion
1-1115,1,1115,Heat 1 images/imgs/01115.TIF,1,inclusion
1-1116,1,1116,Heat 1 images/imgs/01116.TIF,1,inclusion
1-1126,1,1126,Heat 1 images/imgs/01126.TIF,1,inclusion
1-1130,1,1130,Heat 1 images/imgs/01130.TIF,1,inclusion
1-1131,1,1131,Heat 1 images/imgs/01131.TIF,1,inclusion
1-1133,1,1133,Heat 1 images/imgs/01133.TIF,1,inclusion
1-1136,1,1136,Heat 1 images/imgs/01136.TIF,1,inclusion
1-1140,1,1140,Heat 1 images/imgs/01140.TIF,1,inclusion
1-1141,1,1141,Heat 1 images/imgs/01141.TIF,1,inclusion
1-1144,1,1144,Heat 1 images/imgs/01144.TIF,1,inclusion
1-1145,1,1145,Heat 1 images/imgs/01145.TIF,1,inclusion
1-1146,1,1146,Heat 1 images/imgs/01146.TIF,1,inclusion
1-1148,1,1148,Heat 1 images/imgs/01148.TIF,1,inclusion
1-1152,1,1152,Heat 1 images/imgs/01152.TIF,1,inclusion
1-1164,1,1164,Heat 1 images/imgs/01164.TIF,1,inclusion
1-1169,1,1169,Heat 1 images/imgs/01169.TIF,1,inclusion
1-1171,1,1171,Heat 1 images/imgs/01171.TIF,1,inclusion
1-1174,1,1174,Heat 1 images/imgs/01174.TIF,1,inclusion
1-1177,1,1177,Heat 1 images/imgs/01177.TIF,1,inclusion
1-1188,1,1188,Heat 1 images/imgs/01188.TIF,1,inclusion
1-1200,1,1200,Heat 1 images/imgs/01200.TIF,1,inclusion
1-1201,1,1201,Heat 1 images/imgs/01201.TIF,1,inclusion
1-1206,1,1206,Heat 1 images/imgs/01206.TIF,1,inclusion
1-1208,1,1208,Heat 1 images/imgs/01208.TIF,1,inclusion
1-1219,1,1219,Heat 1 images/imgs/01219.TIF,0,non-inclusion
1-1223,1,1223,Heat 1 images/imgs/01223.TIF,1,inclusion
1-1227,1,1227,Heat 1 images/imgs/01227.TIF,1,inclusion
1-1229,1,1229,Heat 1 images/imgs/01229.TIF,1,inclusion
1-1230,1,1230,Heat 1 images/imgs/01230.TIF,1,inclusion
1-1245,1,1245,Heat 1 images/imgs/01245.TIF,1,inclusion
1-1246,1,1246,Heat 1 images/imgs/01246.TIF,1,inclusion
1-1250,1,1250,Heat 1 images/imgs/01250.TIF,1,inclusion
1-1269,1,1269,Heat 1 images/imgs/01269.TIF,1,inclusion
1-1271,1,1271,Heat 1 images/imgs/01271.TIF,1,inclusion
1-1276,1,1276,Heat 1 images/imgs/01276.TIF,1,inclusion
1-1284,1,1284,Heat 1 images/imgs/01284.TIF,1,inclusion
1-1291,1,1291,Heat 1 images/imgs/01291.TIF,1,inclusion
1-1296,1,1296,Heat 1 images/imgs/01296.TIF,1,inclusion
1-1300,1,1300,Heat 1 images/imgs/01300.TIF,1,inclusion
1-1303,1,1303,Heat 1 images/imgs/01303.TIF,1,inclusion
1-1305,1,1305,Heat 1 images/imgs/01305.TIF,1,inclusion
1-1312,1,1312,Heat 1 images/imgs/01312.TIF,1,inclusion
1-1319,1,1319,Heat 1 images/imgs/01319.TIF,1,inclusion
1-1343,1,1343,Heat 1 images/imgs/01343.TIF,1,inclusion
1-1354,1,1354,Heat 1 images/imgs/01354.TIF,1,inclusion
1-1362,1,1362,Heat 1 images/imgs/01362.TIF,1,inclusion
1-1364,1,1364,Heat 1 images/imgs/01364.TIF,1,inclusion
1-1374,1,1374,Heat 1 images/imgs/01374.TIF,1,inclusion
1-1387,1,1387,Heat 1 images/imgs/01387.TIF,1,inclusion
1-1390,1,1390,Heat 1 images/imgs/01390.TIF,1,inclusion
1-1395,1,1395,Heat 1 images/imgs/01395.TIF,1,inclusion
1-1403,1,1403,Heat 1 images/imgs/01403.TIF,1,inclusion
1-1404,1,1404,Heat 1 images/imgs/01404.TIF,1,inclusion
1-1407,1,1407,Heat 1 images/imgs/01407.TIF,1,inclusion
1-1409,1,1409,Heat 1 images/imgs/01409.TIF,1,inclusion
1-1410,1,1410,Heat 1 images/imgs/01410.TIF,1,inclusion
1-1411,1,1411,Heat 1 images/imgs/01411.TIF,1,inclusion
1-1412,1,1412,Heat 1 images/imgs/01412.TIF,1,inclusion
1-1421,1,1421,Heat 1 images/imgs/01421.TIF,1,inclusion
1-1424,1,1424,Heat 1 images/imgs/01424.TIF,1,inclusion
1-1425,1,1425,Heat 1 images/imgs/01425.TIF,1,inclusion
1-1429,1,1429,Heat 1 images/imgs/01429.TIF,1,inclusion
1-1436,1,1436,Heat 1 images/imgs/01436.TIF,1,inclusion
1-1440,1,1440,Heat 1 images/imgs/01440.TIF,1,inclusion
1-1442,1,1442,Heat 1 images/imgs/01442.TIF,1,inclusion
1-1454,1,1454,Heat 1 images/imgs/01454.TIF,1,inclusion
1-1457,1,1457,Heat 1 images/imgs/01457.TIF,1,inclusion
1-1460,1,1460,Heat 1 images/imgs/01460.TIF,1,inclusion
1-1462,1,1462,Heat 1 images/imgs/01462.TIF,1,inclusion
1-1463,1,1463,Heat 1 images/imgs/01463.TIF,1,inclusion
1-1471,1,1471,Heat 1 images/imgs/01471.TIF,1,inclusion
1-1483,1,1483,Heat 1 images/imgs/01483.TIF,0,non-inclusion
1-1486,1,1486,Heat 1 images/imgs/01486.TIF,1,inclusion
1-1488,1,1488,Heat 1 images/imgs/01488.TIF,1,inclusion
1-1493,1,1493,Heat 1 images/imgs/01493.TIF,1,inclusion
1-1498,1,1498,Heat 1 images/imgs/01498.TIF,1,inclusion
1-1499,1,1499,Heat 1 images/imgs/01499.TIF,1,inclusion
1-1504,1,1504,Heat 1 images/imgs/01504.TIF,1,inclusion
